CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
Mix_46	7.31606639090271e-07	2.47744082067623e-06	2.31012141646787e-06	3.0826962918911e-06	2.36892659937841e-06	2.14770090599421e-06	0	3.03238274859323e-06	3.40437693751025e-06
Mix_47	2.10970067447161e-06	2.2593266934572e-06	1.5058147019032e-06	2.00000318466755e-06	1.34902787026604e-06	1.38311624701743e-06	2.04950951176547e-06	2.26617220209295e-06	1.84922298881582e-06
Mix_48	5.9954892577602e-07	2.22750458688372e-06	2.47218141844606e-06	2.83311739384138e-06	2.2636198480454e-06	2.25094493215845e-06	1.62703802038129e-06	2.94215269280731e-06	2.82341406758104e-06
Mix_49	0	1.3638067353619e-06	2.19715056717652e-06	2.63730768545471e-06	1.90465291901093e-06	1.91463551936486e-06	5.39316139564319e-06	3.51192998813731e-06	2.40105832332194e-06
Mix_50	7.43530945930057e-07	1.74911012322665e-06	2.76965077053098e-06	3.42772628720325e-06	2.66307631807284e-06	2.53591626957715e-06	0	3.290633974577e-06	3.6725519858082e-06
Mix_51	9.41745886297756e-07	2.13859057939209e-06	2.76989694395766e-06	2.97216542290485e-06	2.5008499193757e-06	2.54604703080855e-06	4.53592419413439e-07	2.72927977162716e-06	2.9981836168265e-06
Mix_52	2.56669938891999e-07	1.50730537769254e-06	2.19003198861e-06	3.10709975674305e-06	2.11562224520013e-06	1.95471597628662e-06	3.07873994013768e-06	3.7160800659853e-06	3.14739971682635e-06
Mix_53	1.71650133179708e-06	2.309223880731e-06	2.09811724332346e-06	2.65216551438374e-06	1.9873107177777e-06	1.94761082405375e-06	2.9184860830828e-07	2.58364371303245e-06	2.70421164831832e-06
Mix_54	2.26832224394791e-06	1.13027856635724e-06	2.99889049905848e-07	6.10188368020049e-07	0	1.87744226652885e-07	7.47005186468746e-06	1.74309521086031e-06	0
Mix_55	2.19309902887355e-07	1.23127605010924e-06	1.57822219101472e-06	2.33041560891627e-06	1.38391711156654e-06	1.34827682042346e-06	5.66064296390485e-06	3.34394649753249e-06	2.07951332399603e-06
Mix_56	1.07177226333002e-06	1.83414179144805e-06	2.42572430351195e-06	3.15504426670094e-06	2.35226205278568e-06	2.22163382588665e-06	4.16544095638988e-07	3.15774061585766e-06	3.32930020039135e-06
Mix_57	8.34754623598843e-07	7.80581233947804e-08	1.90177716718601e-06	1.6466992260755e-06	1.15334240506839e-06	1.60452538144299e-06	7.77305830981445e-06	2.38031842632675e-06	8.20443320237541e-07
Mix_58	4.78289539676535e-07	1.63613505955907e-06	3.11187167532135e-06	3.38019298682875e-06	2.80884778029495e-06	2.83869825543216e-06	8.709281063658e-07	3.18664560808834e-06	3.4266663580257e-06
Mix_59	0	1.34304001837474e-06	9.40570270424259e-07	1.768236920589e-06	8.197017644804e-07	7.45958129613005e-07	7.29342031766763e-06	3.2916902148937e-06	1.4058755483736e-06
Mix_60	0	2.75670743931463e-06	1.89120972499314e-06	2.98414997936716e-06	2.15252730096263e-06	1.73808911293805e-06	3.11317944653435e-07	3.48037789024036e-06	3.41419982700993e-06
Mix_61	1.01297210356185e-06	2.82866247582364e-06	1.24745794493891e-06	1.99079768368167e-06	1.27760298418752e-06	1.14523615594852e-06	2.61263276311974e-06	2.62174603910085e-06	1.94912216258393e-06
Mix_62	0	2.9450652195853e-06	1.20391807850788e-06	2.06600766802569e-06	1.31438088058901e-06	1.05585021662795e-06	4.22836989276238e-06	3.26925077967865e-06	2.06163802871671e-06
Mix_63	2.10599246070871e-06	1.03361343646342e-06	9.08774862227843e-07	1.21251066114306e-06	4.87035556119335e-07	7.50323942869586e-07	6.48069726684364e-06	2.06484096504553e-06	5.53018104421696e-07
Mix_64	2.49385081586711e-06	2.39707364810948e-06	1.44124434591207e-06	2.00943284536467e-06	1.34773965726842e-06	1.34846201064214e-06	8.96024956169671e-07	2.08894849933298e-06	1.94566643998354e-06
Mix_65	1.78185453123224e-06	2.33705366099956e-06	1.93311291834898e-06	2.5116954240863e-06	1.82682007140929e-06	1.78931858703116e-06	6.16442841493059e-07	2.51170354813701e-06	2.54049144086168e-06
Mix_66	0	2.36147530931237e-06	2.40020781059936e-06	2.94756160670562e-06	2.30222699881118e-06	2.17112648080555e-06	2.14732184854231e-06	3.36646000344396e-06	3.02893865526888e-06
Mix_67	2.2147142066418e-06	3.08214563014374e-06	1.35043150480777e-06	1.54283850135282e-06	1.2097084513581e-06	1.28223202256819e-06	5.71516357787242e-07	1.49989302637476e-06	1.40613237534219e-06
Mix_68	9.56609520825505e-07	1.98268727454969e-06	2.61260447315532e-06	3.24451695406368e-06	2.53226429369202e-06	2.41313996327869e-06	0	3.09070236159641e-06	3.47077018307781e-06
Mix_69	3.13265128786841e-07	2.93602771884472e-06	1.53638639741619e-06	2.35155633739204e-06	1.63360544399039e-06	1.40052853594177e-06	1.98114845411513e-06	3.01843700891501e-06	2.46885164081381e-06
Mix_70	6.71933962263019e-07	1.86111312707279e-06	2.80680464318311e-06	3.31921131797494e-06	2.65508920163183e-06	2.57264638366996e-06	6.73808872530059e-08	3.1740748158663e-06	3.51375700906464e-06
Mix_71	1.6872182793789e-07	2.12593371090163e-06	1.4276029680747e-06	2.4537063607773e-06	1.48059417665164e-06	1.2548939912628e-06	3.96719920147372e-06	3.46769079089652e-06	2.45506242230948e-06
Mix_72	2.40672938012434e-06	1.49005810060113e-06	3.23610303203511e-06	3.05394812369292e-06	2.75885117724753e-06	3.01461668410344e-06	0	1.93459445028832e-06	3.05032422801836e-06
Mix_73	0	1.13155041139475e-06	1.83212105494841e-06	2.4683224238663e-06	1.59172193930595e-06	1.57742034791525e-06	5.81742353838388e-06	3.48525488627228e-06	2.20329175577539e-06
Mix_74	1.33929917968821e-06	2.81260103962952e-06	1.02043381409795e-06	1.70306582829136e-06	1.00664032789429e-06	9.21250817804415e-07	3.11286038334795e-06	2.41886981312207e-06	1.57147219020395e-06
Mix_75	0	1.59508543790443e-06	1.98786013097337e-06	2.30332395630912e-06	1.67083988978212e-06	1.73283524453173e-06	5.49386595304786e-06	3.15938256389608e-06	1.98264916396563e-06
Mix_76	0	1.80756706238574e-06	1.67824839553883e-06	2.37203877054642e-06	1.5598965004329e-06	1.45267265228556e-06	5.37104129894738e-06	3.48771858639328e-06	2.21087321148078e-06
Mix_77	2.55550593778302e-06	1.69258100680554e-06	2.01224308061758e-06	1.98407095135239e-06	1.5498936846212e-06	1.83926250152926e-06	2.21211025082626e-06	1.81945267727097e-06	1.59947859680823e-06
Mix_78	0	1.34478453485778e-06	2.72773325694401e-06	3.35538743147955e-06	2.53257040128916e-06	2.42262262908799e-06	3.44542318119116e-06	3.91778184306681e-06	3.38078468454076e-06
Mix_79	1.27372482044645e-06	7.88562940487511e-07	4.11402532138075e-07	7.66653534108973e-07	1.79022362807941e-08	2.51631768699565e-07	8.84708955795824e-06	2.2248362180422e-06	0
Mix_80	1.17193908992703e-06	1.71631902076536e-06	3.12003355486842e-06	2.99229152348084e-06	2.64343337848741e-06	2.85065029916369e-06	7.12197939191394e-07	2.53183463093896e-06	2.8645426976392e-06
Mix_81	1.10115245486646e-06	2.16817158125925e-06	1.45058663989213e-06	2.21444251552896e-06	1.38353766742721e-06	1.29967344895334e-06	3.54666049093402e-06	2.94186674069933e-06	2.09669545302332e-06
Mix_82	0	2.31566385260659e-06	1.96323744321842e-06	2.90161608997496e-06	2.03450954182676e-06	1.74785391088603e-06	3.38673625085518e-06	3.83904083050138e-06	3.04762197414337e-06
Mix_83	1.04949863852534e-06	2.60559241756279e-06	1.66751791803756e-06	2.29371754931702e-06	1.60607093154993e-06	1.5214006738323e-06	2.19842175713961e-06	2.74908111552391e-06	2.26130444926358e-06
Mix_84	1.25550641751452e-06	2.10291699735478e-06	2.47465112232128e-06	3.0187283421649e-06	2.34394830623261e-06	2.28018433724726e-06	3.76893741142947e-07	2.93239950328552e-06	3.11986143234888e-06
Mix_85	0	1.89651757413864e-06	2.2952991091658e-06	2.77241110431576e-06	2.08796164866962e-06	2.03029553653481e-06	4.03214159002453e-06	3.48796467570602e-06	2.66387263009408e-06
Mix_86	1.20869601059681e-06	1.8809676089031e-06	1.25592406642023e-06	2.08408862905657e-06	1.17551400594305e-06	1.10217203940694e-06	4.43760709298412e-06	2.97559898221167e-06	1.89093012328818e-06
Mix_87	1.60390070469809e-06	3.49733711932097e-06	8.65695721122035e-07	1.34107137642596e-06	8.9646928812333e-07	8.26278488732004e-07	1.37258041307069e-06	1.74935169039191e-06	1.2713743340921e-06
Mix_88	5.92301325708212e-07	2.38820192926176e-06	2.77984806324542e-06	3.27194757141522e-06	2.70635902287041e-06	2.57737075433662e-06	0	2.95371491105615e-06	3.56656087338662e-06
Mix_89	2.49860720236954e-06	8.35703717817664e-07	1.93508215750584e-06	2.07017255260874e-06	1.41486537248145e-06	1.72847591930983e-06	4.07714811964229e-06	2.21441354001917e-06	1.56493588168635e-06
Mix_90	0	1.61070819913445e-06	1.2556732944275e-06	1.62713279527948e-06	9.84010581945218e-07	1.03208617617815e-06	7.46074206661347e-06	3.00299498778697e-06	1.16231599594334e-06
Mix_91	2.14844549661511e-07	3.22220886091597e-06	1.94838614256509e-06	2.26756819331679e-06	1.90930511551267e-06	1.80290684914457e-06	9.84531225235677e-07	2.53441387770451e-06	2.3554963616193e-06
Mix_92	1.13794192747025e-06	1.96406862027805e-06	1.68738307005488e-06	1.79753482068485e-06	1.31492510544098e-06	1.49331168600506e-06	4.66648988118658e-06	2.3804172225461e-06	1.37181977306834e-06
Mix_93	2.19723465084148e-06	1.49103423398322e-06	3.42115968301269e-06	3.23551235514294e-06	2.95372115450493e-06	3.18838101687221e-06	0	2.01362655423054e-06	3.28711977968864e-06
Mix_94	6.57323203653644e-07	2.58300960787976e-06	2.59712179347834e-06	3.04329448208035e-06	2.53482154876181e-06	2.41701301725164e-06	0	2.80842397861434e-06	3.28159414322716e-06
Mix_95	6.83458491105826e-07	1.52825783334897e-06	2.90440654877728e-06	2.74698085443939e-06	2.38242447485968e-06	2.61475427828157e-06	2.74096247015145e-06	2.70831148074818e-06	2.47692095993206e-06
Mix_96	7.07961624427734e-07	1.41337551557008e-06	3.14079242145161e-06	3.41266464765624e-06	2.80695473109267e-06	2.85547341195942e-06	1.00685567885074e-06	3.20370563070394e-06	3.43763600320558e-06
Mix_97	1.62918215449909e-06	2.4164253385299e-06	1.21791224699716e-06	1.8602940955118e-06	1.11880686673246e-06	1.10174296543856e-06	3.30826347540932e-06	2.47232450714568e-06	1.65745518005224e-06
Mix_98	4.07003659722627e-06	2.58413288154852e-06	1.42309768423737e-06	1.32049533740019e-06	1.19740381195704e-06	1.4250640750777e-06	0	2.1066728891438e-07	1.26181787082009e-06
Mix_99	1.12546391588178e-07	6.78987610764686e-07	3.97451658815057e-06	3.85682563781598e-06	3.41922423602982e-06	3.60157101196559e-06	5.63380334374457e-07	3.25408762342031e-06	3.84473834872233e-06
Mix_100	2.92291879225885e-06	1.93350111267986e-06	1.77870696117839e-06	1.60060035433956e-06	1.29208447442974e-06	1.63110608578875e-06	1.88800210322502e-06	1.35999341299359e-06	1.15767923228503e-06
